"Value","Class","Type"
0.56175912,"NDWI-Water","Non-rice"
0.519563598,"NDWI-Water","Non-rice"
0.563773894,"NDWI-Water","Non-rice"
0.54585151,"NDWI-Water","Non-rice"
0.522091211,"NDWI-Water","Non-rice"
0.526395539,"NDWI-Water","Non-rice"
0.478276634,"NDWI-Water","Non-rice"
0.424620131,"NDWI-Water","Non-rice"
0.481263637,"NDWI-Water","Non-rice"
0.471838123,"NDWI-Water","Non-rice"
0.439672524,"NDWI-Water","Non-rice"
0.4349929,"NDWI-Water","Non-rice"
0.459670126,"NDWI-Water","Non-rice"
0.473275927,"NDWI-Water","Non-rice"
0.467585137,"NDWI-Water","Non-rice"
0.47278125,"NDWI-Water","Non-rice"
0.511169406,"NDWI-Water","Non-rice"
0.482423021,"NDWI-Water","Non-rice"
0.475984362,"NDWI-Water","Non-rice"
0.473665609,"NDWI-Water","Non-rice"
0.48054986,"NDWI-Water","Non-rice"
0.465181151,"NDWI-Water","Non-rice"
0.465802144,"NDWI-Water","Non-rice"
0.463388157,"NDWI-Water","Non-rice"
0.465935249,"NDWI-Water","Non-rice"
0.461077054,"NDWI-Water","Non-rice"
0.504407647,"NDWI-Water","Non-rice"
0.505235262,"NDWI-Water","Non-rice"
0.466140125,"NDWI-Water","Non-rice"
0.466141035,"NDWI-Water","Non-rice"
0.460327627,"NDWI-Water","Non-rice"
0.460540443,"NDWI-Water","Non-rice"
0.458040764,"NDWI-Water","Non-rice"
0.458473606,"NDWI-Water","Non-rice"
0.451273825,"NDWI-Water","Non-rice"
0.4446429,"NDWI-Water","Non-rice"
0.453722592,"NDWI-Water","Non-rice"
0.457524048,"NDWI-Water","Non-rice"
0.491590981,"NDWI-Water","Non-rice"
0.497993082,"NDWI-Water","Non-rice"
0.501506367,"NDWI-Water","Non-rice"
0.495786655,"NDWI-Water","Non-rice"
0.49790561,"NDWI-Water","Non-rice"
0.449892625,"NDWI-Water","Non-rice"
0.449893553,"NDWI-Water","Non-rice"
0.453271507,"NDWI-Water","Non-rice"
